,J-Squad,,Creat,,Quat,,Sing,,Zeelo,,JLD,,Mill,,Paleos,,From,,Jakes,
Position,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$
C,"Wong, C",1,"Diaz, Y",2,Rutschman,15,Rogers,11,Garver,11,Vazquez,3,Heim,6,Raleigh,7,Wells,2,Pinto,1
C,Fermin,4,O'Hoppe,12,Langeliers,12,Fry,1,Jansen,7,Knizner,1,"Naylor, B",10,Jeffers,12,Kirk,10,Caritini,3
1B,Guerrero Jr,15,Casas,5,"Diaz, Y",21,Pasquantino,5,Noda,5,Kirilloff,1,Torkelson,15,"Naylor, J",11,Turner,13,Drury,13
2B,Caballero,3,Semien,40,Biggio,5,Gimenez,14,Altuve,20,Torres,32,Rojas,4,"Lowe, B",21,Westburg,5,Julien,10
3B,Paeredes,15,Velazquez,14,"Davis, JD",9,"Lewis, R",2,Bregman,28,Rosario,1,"Castro, W",1,LeMahieu,4,"Jung, Josh",10,Rengifo,2
SS,"Pena, J",5,Grissom,11,Henderson,2,Neto,5,Correra,22,Volpe,15,Mateo,7,Bichette,12,Schanuel,7,Seager,30
MI,Dubon,7,Hernaiz,1,Witt,20,Story,3,"Schneider, D",3,Lowe,15,Baez,1,Berti,11,Polanco,15,"Crawford, JP",8
CI,"Arias, G",1,Mouncastle,14,Santana,12,"Keith, C",5,"Abreu, J",9,Moncada,10,"Perez, S",18,Rizzo,19,Garcia,23,Devers,38
OF,"Greene, R",12,Carpenter,9,Kepler,7,O'Hearn,1,Duran,16,Alvarez,20,"Meadows, P",5,"Carter, E",10,Melendez,10,Butler,2
OF,Springer,35,"Lowe, J",1,Rodriguez,20,Ruiz,18,Rooker,14,McCormick,9,Santander,11,Mullins,12,Tucker,50,Wallner,2
OF,Kwan,6,Soto,54,Haniger,13,O'Neill,22,Raley,10,Robert,37,Judge,47,"Garcia, A",34,Varsho,22,Trout,32
OF,Stanton,15,Taveras,15,Kiermeir,3,Ward,22,Bleday,3,Yoshida,24,Kiner-Falefa,1,Arozerena,40,Verdugo,10,Langford,32
OF,Siri,17,Freeman,1,Hicks,1,"Abreu, W",1,Hays,9,Canzone,1,Brown,5,Moniak,3,Palacios,1,Rafaela,18
U,Renfroe,9,Canha,16,Vaughn,15,Rocchio,5,Buxton,18,Aranda,1,"Rameriz, J",48,"Kelly, Car",2,Massey,2,Gelof,19
U,Blanco,7,Benintendi,7,Isebel,9,Jimeniz,16,France,12,Margot ,1,Rendon,12,Laureano,1,Allen,1,Cabrera,5
P,Munoz,15,Kirby,10,Civale,9,Bello,5,Castillo,34,Estevez,5,Berrios,12,Bibee,10,"Brown, H",8,"Crawford, K",3
P,"Lopez, P",21,Leclerc,2,Eflin,9,Hader,26,Maeda,5,Javier,7,Kikuchi,3,Ryan,18,Detmers,5,Ober,15
P,Valdez,9,Ragans,3,Cortes,11,Burnes,41,Miller,5,Lange,15,"Rodriguez, G",10,Wells,1,Duran,10,Degrom,7
P,Gilbert,31,Skubal,1,Williams,5,Bradish,12,Rodon,17,Cole,21,"Woo, B",4,Smith,1,Fairbanks,10,Miller,14
P,Lugo,9,McKenzie,9,Bieber,27,Romano,21,Abreu,6,Bassitt,18,Holmes,24,Kimbrel,20,Pivetta,2,Stroman,12
P,Kopech,9,Clase,28,Jensen,18,Eovaldi,21,Verlander,14,Pepiot,19,Olson,3,Silseth,11,Gausman,37,"Bautista, F",4
P,Loasigia,1,Crochet,9,Whitlock,9,Scherzer,9,Robertson,6,Stewart ,3,Sandoval,1,Jax,11,Foley,10,Houck,4
P,Flaherty,9,Canning,12,Schmidt,5,Gil,7,Martin,4,"Allen, L",7,"France, JP",9,"Boyle, J",3,Brash,4,Garcia,1
P,"Gray, J",3,"Cano, Y",2,Fedde,7,Littel,1,Hamilton,1,Pressly,5,Mize,7,Kremer,3,McLanahan,4,Dunning,3
P,Stephenson,5,"Mcarthur, J",2,Varland,11,Paddack,2,Barlow,1,"Sears, JP",1,Adam,10,Means,3,"Francis, B",1,Wacha,2
,,,,,,,,,,,,,,,,,,,,
,SPENT:,264,SPENT:,280,SPENT:,275,SPENT:,276,SPENT:,280,SPENT:,272,SPENT:,274,SPENT:,280,SPENT:,270,SPENT:,280
