,J-Squad,,Creat,,Quat,,Sing,,Zeelo,,JLD,,Mill,,Paleos,,From,,Jakes,,,
Position,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,,
C,Murphy,10,Grandal,29,"Perez, Sal",6,Garver,4,Mejia,3,Jeffers,6,Severino,1,"Murphy, T",1,"Perez, Roberto",2,Trevino,2,,
C,Stassi,8,Kirk,12,Ramos,10,Huff,1,Cisco,2,Jansen,8,Vazquez,2,moldanano,1,Plawecki,1,Torrens,1,,
1B,Guerrero,5,Vilinka,,Sano,13,Dalbec,11,Moreland,5,Brosseau,8,Abreu,26,Olson,10,White,5,Vaughn,10,,
2B,Arroyo,1,Solak,2,Merrifield,13,"Gonzales, Marwin",7,Adames,1,Le Mahieu,6,Galvis,7,France,20,"Hernandez, C",8,Madrigal,5,,
3B,"Biggio (2B,OF)",5,Diaz,4,Bregman,15,Brock Holt,1,Urshela,1,Rameriez,15,Rendon,47,Tsutugo,9,Seager,6,Fletcher,10,,
SS,Mondesi,15,"Anderson, T",16,Andrus,10,Gimenez,26,Boegarts,31,Semien,17,Crawford,11,Polanco,1,Kiner-Falefa,9,Castro,3,,
MI,Bichette,2,Torres,15,Schoop,9,Lowrie,1,,,"Rosario, A",13,Correra,28,Iglesias,9,"Hernendez, E",11,Lowe,32,,
CI,Devers,33,choi,1,Moncada,15,Walsh,13,"Franco, M",8,Donaldson,21,Tellez,8,Gurriel,16,Lowe,10,Wendle,6,,
OF,Robert,10,Gurriel Jr.,5,Buxton,15,Brantley,19,Beinentendi,16,Frazier,7,Canha,1,Meadows,19,Jimenez,15,Straw,1,,
OF,Trout,60,Judge,12,Lewis,2,Mancini,25,Kepler,26,Hernendaz,11,Dozier,10,Santander,2,Grossman,14,Gallo,36,,
OF,Grichuk,13,Tucker,10,Reyes,8,Haniger,19,Laureano,30,Mountcasle,5,Calhoun,1,Arozerena,35,Springer,40,"Rosario, E",36,,
OF,"Moore, D",1,Hicks,24,Soler,12,Upton,15,Kiermeier,11,Verdugo,21,Fowler,7,Isbel,6,Eaton,12,Margot,24,,
OF,Piscotty,1,Renfroe,8,Cordero,6,Trammel,9,Mullins,7,taveras,19,Bruce,1,Dahl,10,Hays,13,"Taylor, M",12,,
U,Cruz,29,Altuve,27,Santana,31,Cabrera,11,,,Alvarez,10,Martinez,33,Stanton,39,Candelario,10,Ohtani,15,,
U,Guzman,2,Arraez,6,Simmons,6,Naylor,10,Pujols,2,Chapman,32,Sanchez,15,Collins,8,Voit,24,"White, Eli",1,,
P,Ottavino,8,Clase,2,Bundy,9,Cole,29,Lynn,15,Castillo,5,Bummer,3,Bassit,1,Boyd,4,German,4,,
P,Manaea,1,Glasnow,15,Singer,5,Heaney,3,Green,1,Mckenzie,10,Chapman,27,Kennedy,10,Mize,10,Gonzales,1,,
P,Plesac,7,Luzardo,10,Ryu,37,Kikuchi,2,Duffey,1,Wittgren,3,Giolito,5,Means,2,Yarbough,5,Minor,6,,
P,Grienke,32,Pressly,8,Taillon,16,Verlander,2,Civale,5,Montgomery,13,Hendriks,1,Urquidy,5,Bieber,43,Allen,2,,
P,Wacha,2,McCullers,24,Holland,13,Berrios,33,Kluber,23,Rogers,14,Canning,15,Pearson,5,Romano,19,Pineda,1,,
P,Matz,1,Eovaldi,11,Shoemaker,7,Karinchak,17,Barnes,12,Javier,10,Cease,14,"Valdez, C",7,Deikman,6,Sale,12,,
P,Wendelken,2,"Valdez, F",4,Severino,12,Paredes,6,Montero,15,Happ,5,Keller,4,Maeda,33,Romo,2,Iglesias,29,,
P,Colome,17,Soto,14,Arihara,5,"Anderson, N",5,Keuchel,18,Kopech,10,Hill,6,"Rodriguez, Eduardo",15,Staumont,4,Skubal,11,,
P,Fairbanks,9,Ray,10,Barlow,1,Crochet,5,Paxton,22,Sheffield,5,Archer,6,Rosenthal,10,Mayers,5,Montas,17,,
P,Garcia,1,Loigoisa,6,Davis,2,,,player,20,Merryweather,2,,,Bush,6,rodon,2,"Rodriguez, Chris",1,,
